season,PLAYER_ID,Jersey
2014,2755,0
2015,2755,0
2015,2756,0
2016,2756,0
2012,2757,0
2013,2757,0
2014,2757,0
2015,2757,0
2016,2757,0
2012,2760,0
2013,2760,0
2014,2760,0
2015,2760,0
2016,2760,0
2012,2765,0
2012,2767,0
2013,2767,0
2012,2768,0
2012,2772,0
2013,2772,0
2014,2772,0
2015,2772,0
2016,2772,0
2017,2772,0
2018,2772,0
2019,2772,0
2014,2788,0
2012,2853,0
2014,2853,0
2015,2853,0
2013,2857,0
2012,2863,0
2013,2863,0
2015,2863,0
2017,2863,0
2012,101106,0
2013,101106,0
2014,101106,0
2015,101106,0
2016,101106,0
2017,101106,0
2012,101107,0
2013,101107,0
2014,101107,0
2015,101107,0
2016,101107,0
2017,101107,0
2018,101107,0
2019,101107,0
2020,101107,0
2012,101108,1
2013,101108,1
2014,101108,1
2015,101108,1
2016,101108,0
2017,101108,0
2018,101108,0
2019,101108,0
2020,101108,0
2012,101109,0
2013,101109,0
2014,101109,0
2015,101109,0
2016,101109,0
2017,101109,0
2018,101109,0
2012,101110,0
2013,101110,0
2014,101110,0
2012,101111,0
2013,101111,0
2014,101111,0
2015,101111,0
2013,101112,0
2014,101112,0
2015,101112,0
2016,101112,0
2017,101112,0
2018,101112,0
2012,101113,0
2013,101113,0
2012,101114,0
2013,101114,1
2014,101114,0
2015,101114,0
2016,101114,0
2013,101115,0
2012,101122,0
2013,101122,0
2014,101122,0
2012,101123,0
2013,101123,0
2014,101123,0
2015,101123,0
2016,101123,0
2017,101123,0
2018,101123,0
2019,101123,0
2020,101123,0
2012,101124,0
2012,101126,0
2013,101126,0
2014,101126,0
2015,101126,0
2012,101127,0
2013,101127,0
2014,101127,0
2015,101127,0
2017,101127,0
2018,101127,0
2012,101128,0
2013,101128,0
2014,101128,0
2012,101130,0
2012,101131,0
2013,101131,0
2014,101131,0
2012,101132,0
2012,101133,0
2013,101133,0
2014,101133,0
2015,101133,0
2016,101133,0
2017,101133,0
2018,101133,0
2019,101133,0
2012,101135,0
2013,101135,0
2014,101135,0
2015,101135,0
2016,101135,0
2012,101138,0
2013,101138,0
2014,101138,0
2015,101138,0
2016,101138,0
2012,101139,0
2013,101139,0
2014,101139,0
2015,101139,0
2016,101139,0
2017,101139,0
2018,101139,0
2019,101139,0
2012,101141,0
2013,101141,0
2014,101141,0
2015,101141,0
2016,101141,0
2017,101141,0
2018,101141,0
2019,101141,0
2012,101142,0
2013,101142,0
2014,101142,0
2012,101145,0
2013,101145,0
2014,101145,0
2015,101145,0
2016,101145,0
2012,101150,0
2013,101150,0
2014,101150,0
2015,101150,0
2016,101150,0
2017,101150,0
2018,101150,0
2019,101150,0
2020,101150,0
2012,101153,0
2012,101154,0
2013,101154,0
2013,101155,0
2012,101158,0
2012,101161,0
2013,101161,0
2014,101161,0
2015,101161,0
2016,101161,0
2017,101161,0
2018,101161,0
2012,101162,0
2013,101162,0
2014,101162,0
2015,101162,0
2016,101162,0
2017,101162,0
2018,101162,0
2012,101179,0
2013,101179,0
2014,101179,0
2015,101179,0
2016,101179,0
2012,101181,0
2013,101181,0
2014,101181,0
2015,101181,0
2016,101181,0
2017,101181,0
2018,101181,0
2012,101183,0
2014,101183,0
2012,101187,0
2013,101187,0
2014,101187,0
2016,101187,0
2012,101198,0
2013,101198,0
2016,101198,0
2013,101204,0
2013,101211,0
2012,101215,0
2013,101217,0
2012,101235,0
2012,101236,0
2013,101236,0
2014,101236,0
2015,101236,0
2012,101249,0
2013,101249,0
2014,101249,0
2015,101249,0
2016,101249,0
2017,162777,0
2012,200745,0
2013,200745,0
2014,200745,0
2015,200745,0
2012,200746,0
2013,200746,0
2014,200746,0
2015,200746,0
2016,200746,0
2017,200746,0
2018,200746,0
2019,200746,0
2020,200746,0
2012,200747,0
2012,200748,0
2014,200748,0
2012,200750,0
2012,200751,0
2013,200751,0
2014,200751,0
2015,200751,0
2016,200751,0
2012,200752,0
2013,200752,0
2014,200752,0
2015,200752,0
2016,200752,0
2017,200752,0
2018,200752,0
2019,200752,0
2020,200752,0
2013,200753,0
2012,200755,0
2013,200755,0
2014,200755,0
2015,200755,0
2016,200755,0
2017,200755,0
2018,200755,0
2019,200755,0
2020,200755,0
2013,200756,0
2012,200757,0
2013,200757,0
2014,200757,0
2015,200757,0
2016,200757,0
2017,200757,0
2018,200757,0
2019,200757,0
2012,200758,0
2013,200758,0
2012,200760,0
2013,200761,0
2014,200761,0
2015,200762,0
2013,200764,0
2012,200765,1
2013,200765,1
2014,200765,1
2015,200765,0
2016,200765,0
2017,200765,0
2018,200765,0
2019,200765,0
2020,200765,0
2017,200766,0
2012,200768,0
2013,200768,0
2014,200768,0
2015,200768,0
2016,200768,0
2017,200768,0
2018,200768,0
2019,200768,0
2020,200768,0
2012,200769,0
2013,200769,0
2014,200769,0
2013,200770,0
2014,200770,0
2016,200770,0
2016,200771,0
2012,200777,0
2013,200777,0
2014,200777,0
2012,200778,0
2012,200779,0
2013,200779,0
2014,200779,0
2015,200779,0
2016,200779,0
2012,200780,0
2013,200780,0
2014,200780,0
2012,200782,0
2013,200782,0
2014,200782,0
2015,200782,0
2016,200782,0
2017,200782,0
2018,200782,0
2019,200782,0
2020,200782,0
2012,200789,0
2012,200794,0
2013,200794,0
2014,200794,0
2015,200794,0
2016,200794,0
2017,200794,0
2018,200794,0
2019,200794,0
2020,200794,0
2012,200797,0
2013,200797,0
2014,200797,0
2015,200797,0
2012,200809,0
2012,200811,0
2013,200811,0
2014,200811,0
2015,200811,0
2016,200811,0
2012,200814,0
2015,200821,0
2013,200822,0
2012,200826,0
2013,200826,0
2014,200826,0
2015,200826,0
2016,200826,0
2017,200826,0
2018,200826,0
2019,200826,0
2012,200839,0
2013,200839,0
2012,200894,0
2012,201041,0
2013,201141,0
2012,201142,1
2013,201142,1
2014,201142,1
2015,201142,1
2016,201142,1
2017,201142,1
2018,201142,1
2020,201142,1
2012,201143,0
2013,201143,0
2014,201143,0
2015,201143,0
2016,201143,0
2017,201143,0
2018,201143,0
